"responseData__cityentity_id","responseData__id","responseData__name","responseData__max_level","responseData__blueprints__number_of_pieces","responseData__blueprints__building_id","responseData__blueprints__piece_number","responseData__blueprints__amount","responseData__blueprints____class__","responseData__description","responseData__inStock","responseData__item__upgradeItemId","responseData__item__selectionKitId","responseData__item__target","responseData__item__resource_package__cost____class__","responseData__item__resource_package__gain","responseData__item__resource_package____class__","responseData__item__cityEntityId","responseData__item__level","responseData__item__reward__type","responseData__item__reward__subType","responseData__item__reward__amount","responseData__item__reward__id","responseData__item__reward__name","responseData__item__reward__description","responseData__item__reward__iconAssetName","responseData__item__reward__isHighlighted","responseData__item__reward__assembledReward__type","responseData__item__reward__assembledReward__subType","responseData__item__reward__assembledReward__amount","responseData__item__reward__assembledReward__id","responseData__item__reward__assembledReward__name","responseData__item__reward__assembledReward__description","responseData__item__reward__assembledReward__iconAssetName","responseData__item__reward__assembledReward__isHighlighted","responseData__item__reward__assembledReward__flags__-","responseData__item__reward__assembledReward____class__","responseData__item__reward__requiredAmount","responseData__item__reward__possible_rewards__drop_chance","responseData__item__reward__possible_rewards__reward__type","responseData__item__reward__possible_rewards__reward__subType","responseData__item__reward__possible_rewards__reward__id","responseData__item__reward__possible_rewards__reward__name","responseData__item__reward__possible_rewards__reward__iconAssetName","responseData__item__reward__possible_rewards__reward__possible_rewards__drop_chance","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__type","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__subType","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__amount","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__id","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__name","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__description","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__iconAssetName","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__duration","responseData__item__reward__possible_rewards__reward__possible_rewards__reward__value","responseData__item__reward__possible_rewards__reward__possible_rewards__reward____class__","responseData__item__reward__possible_rewards__reward__possible_rewards____class__","responseData__item__reward__possible_rewards__reward____class__","responseData__item__reward__possible_rewards____class__","responseData__item__reward____class__","responseData__item__boostType","responseData__item__value","responseData__item__duration","responseData__item____class__","responseData__itemAssetName","responseData__availableFrom","responseData__exchangeBaseValue__|","responseData__exchangeBaseValue__|__trade_coins","responseData__exchangeBaseValue__|__gemstones","responseData__exchangeBaseValue____class__","responseData__locked","responseData__sortPriority__001","responseData__sortPriority__002","responseData__sortPriority__003","responseData__sortPriority__004","responseData__sortPriority__005","responseData__sortPriority__006","responseData__time","responseData____class__","responseData","requestClass","requestMethod","requestId","__class__"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","consumable","boost_item","1","coin_boost_large_8h","100%-Münz-Trank","Benutze diesen Gegenstand, um deine Münz-Produktionen in der Stadt 8 Std. lang um 100% zu steigern!","boost_coins_large","28800","100","TimedReward","GenericChestReward","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","chest","","random_boost_item_supplies","Zufälliger Vorrats-Trank","boost_supplies_medium","60","consumable","boost_item","1","supply_boost_small_8h","10%-Vorrats-Trank","Benutze diesen Gegenstand, um deine Vorrats-Produktionen in der Stadt 8 Std. lang um 10% zu steigern!","boost_supplies_small","28800","10","TimedReward","GenericChestReward","GenericChest","GenericChestReward","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","consumable","boost_item","1","supply_boost_medium_8h","50%-Vorrats-Trank","Benutze diesen Gegenstand, um deine Vorrats-Produktionen in der Stadt 8 Std. lang um 50% zu steigern!","boost_supplies_medium","28800","50","TimedReward","GenericChestReward","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","consumable","boost_item","1","supply_boost_large_8h","100%-Vorrats-Trank","Benutze diesen Gegenstand, um deine Vorrats-Produktionen in der Stadt 8 Std. lang um 100% zu steigern!","boost_supplies_large","28800","100","TimedReward","GenericChestReward","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","chest","","random_boost_item_attacker","Zufälliger Angriffs-Trank","boost_attack_medium","60","consumable","boost_item","1","attacker_boost_small_8h","5%-Angriffs-Trank","Benutze diesen Trank, um die Angriffswerte deiner angreifenden Einheiten 8 Std. lang um 5% zu verbessern. Es kann nur ein Angriffs-Trank auf einmal aktiv sein.","boost_attack_small","28800","5","TimedReward","GenericChestReward","GenericChest","GenericChestReward","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","consumable","boost_item","1","attacker_boost_medium_8h","10%-Angriffs-Trank","Benutze diesen Trank, um die Angriffswerte deiner angreifenden Einheiten 8 Std. lang um 10% zu verbessern. Es kann nur ein Angriffs-Trank auf einmal aktiv sein.","boost_attack_medium","28800","10","TimedReward","GenericChestReward","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","consumable","boost_item","1","attacker_boost_large_8h","20%-Angriffs-Trank","Benutze diesen Trank, um die Angriffswerte deiner angreifenden Einheiten 8 Std. lang um 20% zu verbessern. Es kann nur ein Angriffs-Trank auf einmal aktiv sein.","boost_attack_large","28800","20","TimedReward","GenericChestReward","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","chest","","random_boost_item_defender","Zufälliger Verteidigungs-Trank","boost_defend_medium","60","consumable","boost_item","1","defender_boost_small_8h","10%-Verteidigungs-Trank","Benutze diesen Gegenstand, um die Verteidigungswerte deiner verteidigenden Einheiten 8 Std. lang um 10% zu verbessern.","boost_defend_small","28800","10","TimedReward","GenericChestReward","GenericChest","GenericChestReward","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","consumable","boost_item","1","defender_boost_medium_8h","20%-Verteidigungs-Trank","Benutze diesen Gegenstand, um die Verteidigungswerte deiner verteidigenden Einheiten 8 Std. lang um 20% zu verbessern.","boost_defend_medium","28800","20","TimedReward","GenericChestReward","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","consumable","boost_item","1","defender_boost_large_8h","30%-Verteidigungs-Trank","Benutze diesen Gegenstand, um die Verteidigungswerte deiner verteidigenden Einheiten 8 Std. lang um 30% zu verbessern.","boost_defend_large","28800","30","TimedReward","GenericChestReward","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","29950396","Globusbrunnen","","","","","","","","1","","","","","","","A_MultiAge_ArcheologyBonus20","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","A_MultiAge_ArcheologyBonus20","","minValues","4050.0000000000005","5.280000000000001","ItemExchangeValue","True","1","0","0","1","0","20","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","4050.0000000000005","7.920000000000001","","","","","","","","","","","","","","",""
"","30147440","Haupttribüne","","","","","","","","6","","","","","","","A_MultiAge_CupBonus16","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","A_MultiAge_CupBonus16","","minValues","675","0","ItemExchangeValue","","1","0","0","1","0","20","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","675","0","","","","","","","","","","","","","","",""
"","26438334","Monumentaler Friedhof","","","","","","","","1","","","","","","","A_MultiAge_HalloweenBonus16","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","A_MultiAge_HalloweenBonus16","","minValues","2160","1.9200000000000002","ItemExchangeValue","True","1","0","0","1","0","19","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","2160","2.88","","","","","","","","","","","","","","",""
"","24203187","Botanische Rotunde","","","","","","","","30","","","","","","","A_MultiAge_KhanBonus18","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","A_MultiAge_KhanBonus18","","minValues","4050.0000000000005","5.280000000000001","ItemExchangeValue","True","1","0","0","1","0","19","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","4050.0000000000005","7.920000000000001","","","","","","","","","","","","","","",""
"","29154949","Botanische Rotunde","","","","","","","","3","","","","","","","A_MultiAge_KhanBonus18","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","A_MultiAge_KhanBonus18","","minValues","4050.0000000000005","5.280000000000001","ItemExchangeValue","True","1","0","0","1","0","18","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","4050.0000000000005","7.920000000000001","","","","","","","","","","","","","","",""
"","22979616","Trauerweide - St. 2","","","","","","","","1","","","","","","","A_MultiAge_PatrickBonusSet20b","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","A_MultiAge_PatrickBonusSet20b","","minValues","4320","5.632000000000001","ItemExchangeValue","True","1","0","1266037249","1","0","16","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","4320","8.448","","","","","","","","","","","","","","",""
"","21051193","HQ des Gürtelbergbaus","","","","","","","","11","","","","","","","A_SpaceAgeAsteroidBelt_Culture1","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","A_SpaceAgeAsteroidBelt_Culture1","","minValues","202.5","0","ItemExchangeValue","","1","0","0","0","0","18","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","202.5","0","","","","","","","","","","","","","","",""
"","29611817","Aquatisches Museum","","","","","","","","7","","","","","","","A_SpaceAgeJupiterMoon_Culture1","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","A_SpaceAgeJupiterMoon_Culture1","","minValues","202.5","0","ItemExchangeValue","","1","0","0","0","0","20","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","202.5","0","","","","","","","","","","","","","","",""
"","22498385","Himmelstaxi","","","","","","","","47","","","","","","","A_SpaceAgeVenus_Culture1","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","A_SpaceAgeVenus_Culture1","","minValues","202.5","0","ItemExchangeValue","","1","0","0","0","0","19","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","202.5","0","","","","","","","","","","","","","","",""
"","19152886","Drachenkasino","","","","","","","","5","","","","","","","A_VirtualFuture_Culture3","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","A_VirtualFuture_Culture3","","minValues","202.5","0","ItemExchangeValue","","1","0","0","0","0","16","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","202.5","0","","","","","","","","","","","","","","",""
"","17727007","Parade","","","","","","","","12","","","","","","","A_VirtualFuture_Culture4","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","A_VirtualFuture_Culture4","","minValues","202.5","0","ItemExchangeValue","","1","0","0","0","0","16","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","202.5","0","","","","","","","","","","","","","","",""
"","29988909","Straße der Ehre","","","","","","","","2","","","","","","","D_MultiAge_Battlegrounds2","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","D_MultiAge_Battlegrounds2","","minValues","4050.0000000000005","5.280000000000001","ItemExchangeValue","True","1","176554895","0","1","0","20","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","4050.0000000000005","7.920000000000001","","","","","","","","","","","","","","",""
"","24598068","Straße der Ehre","","","","","","","","43","","","","","","","D_MultiAge_Battlegrounds2","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","D_MultiAge_Battlegrounds2","","minValues","4050.0000000000005","5.280000000000001","ItemExchangeValue","True","1","176554895","0","1","0","19","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","4050.0000000000005","7.920000000000001","","","","","","","","","","","","","","",""
"","30306348","Schillernder Garten","","","","","","","","1","","","","","","","D_MultiAge_Battlegrounds4","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","D_MultiAge_Battlegrounds4","","minValues","4050.0000000000005","5.280000000000001","ItemExchangeValue","True","1","288439975","0","1","0","20","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","4050.0000000000005","7.920000000000001","","","","","","","","","","","","","","",""
"","27378846","Schillernder Garten","","","","","","","","3","","","","","","","D_MultiAge_Battlegrounds4","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","D_MultiAge_Battlegrounds4","","minValues","4050.0000000000005","5.280000000000001","ItemExchangeValue","True","1","288439975","0","1","0","19","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","4050.0000000000005","7.920000000000001","","","","","","","","","","","","","","",""
"","29272172","Willkommens-Quell","","","","","","","","1","","","","","","","D_MultiAge_Bonus","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","D_MultiAge_Bonus","","minValues","540","0","ItemExchangeValue","","1","0","0","1","0","19","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","540","0","","","","","","","","","","","","","","",""
"","29031635","Maskierte Statue","","","","","","","","1","","","","","","","D_MultiAge_CarnivalBonus17b","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","D_MultiAge_CarnivalBonus17b","","minValues","202.5","0","ItemExchangeValue","","1","0","0","1","0","19","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","202.5","0","","","","","","","","","","","","","","",""
"","30228754","Tribüne","","","","","","","","9","","","","","","","D_MultiAge_CupBonus16b","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","D_MultiAge_CupBonus16b","","minValues","337.5","0","ItemExchangeValue","","1","0","0","1","0","20","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","337.5","0","","","","","","","","","","","","","","",""
"","29621284","Blauregen Zierpflanze","","","","","","","","5","","","","","","","D_MultiAge_EasterBonus16","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","D_MultiAge_EasterBonus16","","minValues","202.5","0","ItemExchangeValue","","1","0","0","1","0","20","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","202.5","0","","","","","","","","","","","","","","",""
"","22653692","Blauregen Zierpflanze","","","","","","","","16","","","","","","","D_MultiAge_EasterBonus16","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","D_MultiAge_EasterBonus16","","minValues","202.5","0","ItemExchangeValue","","1","0","0","1","0","19","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","202.5","0","","","","","","","","","","","","","","",""
"","29502615","Antikes Gesicht","","","","","","","","12","","","","","","","D_MultiAge_Expedition16a","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","D_MultiAge_Expedition16a","","minValues","405","0.12000000000000001","ItemExchangeValue","","1","0","0","1","0","20","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","405","0.18","","","","","","","","","","","","","","",""
"","22430528","Antikes Gesicht","","","","","","","","100","","","","","","","D_MultiAge_Expedition16a","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","D_MultiAge_Expedition16a","","minValues","405","0.12000000000000001","ItemExchangeValue","","1","0","0","1","0","19","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","405","0.18","","","","","","","","","","","","","","",""
"","21016940","Antikes Gesicht","","","","","","","","10","","","","","","","D_MultiAge_Expedition16a","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","D_MultiAge_Expedition16a","","minValues","405","0.12000000000000001","ItemExchangeValue","","1","0","0","1","0","18","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","405","0.18","","","","","","","","","","","","","","",""
"","20389347","Antikes Gesicht","","","","","","","","6","","","","","","","D_MultiAge_Expedition16a","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","D_MultiAge_Expedition16a","","minValues","405","0.12000000000000001","ItemExchangeValue","","1","0","0","1","0","17","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","405","0.18","","","","","","","","","","","","","","",""
"","15597536","Antikes Gesicht","","","","","","","","60","","","","","","","D_MultiAge_Expedition16a","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","D_MultiAge_Expedition16a","","minValues","405","0.12000000000000001","ItemExchangeValue","","1","0","0","1","0","16","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","405","0.18","","","","","","","","","","","","","","",""
"","29628841","Tor des Sonnengottes","","","","","","","","15","","","","","","","D_MultiAge_Expedition16b","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","D_MultiAge_Expedition16b","","minValues","405","0.12000000000000001","ItemExchangeValue","","1","0","0","1","0","20","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","405","0.18","","","","","","","","","","","","","","",""
"","22498409","Tor des Sonnengottes","","","","","","","","82","","","","","","","D_MultiAge_Expedition16b","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","D_MultiAge_Expedition16b","","minValues","405","0.12000000000000001","ItemExchangeValue","","1","0","0","1","0","19","","InventoryItem","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maxValues","405","0.18","","","","","","","","","","","","","","",""
"","20993229","Tor des Sonnengottes","","","","","","","","7","","","","","","","D_MultiAge_Expedition16b","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BuildingItemPayload","D_MultiAge_Expedition16b","","minValues","405","0.12000000000000001","ItemExchangeValue","","1","0","0","1","0","18","","InventoryItem","","","","",""
